Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
714191,1479182,825720,1726770,218575,3618129,1244426,345959,4265657,3328714,
ef,recall,qps,dist_comp,hops
3000,0.9782,726.772,3240.8,1606.96
2500,0.9772,837.358,2897.18,1393.96
2000,0.9759,983.301,2556.43,1169.6
1700,0.9747,1102.91,2341.42,1026.78
1400,0.9725,1258.74,2106.03,878.342
1100,0.9702,1505.05,1841.2,721.534
1000,0.9693,1612.61,1742.6,667.01
900,0.968,1743.34,1638.69,611.4
800,0.9674,1905.55,1528.1,554.956
700,0.9645,2103.74,1409.36,496.482
600,0.9616,2364.45,1281.87,435.851
500,0.9576,2717.52,1144.61,373.38
400,0.9517,3190.22,997.484,308.44
300,0.9456,3896.68,838.947,241.959
250,0.9411,4440.7,749.121,206.53
200,0.9373,5184.91,655.276,170.774
180,0.9345,5555.81,618.068,157.454
160,0.929,6012.04,577.357,142.426
140,0.9185,6607.66,532.023,126.677
120,0.9076,7364.8,484.949,110.844
100,0.8978,8299.65,438.855,95.653
90,0.8911,8646.67,412.304,87.353
80,0.8833,9623.31,383.221,78.873
70,0.8737,10444.5,352.935,70.22
60,0.8631,11766.4,322.729,61.596
55,0.8556,12514.7,305.908,57.098
50,0.8468,13243.2,288.878,52.607
45,0.841,14149.2,271.912,48.252
40,0.831,14947.2,254.568,43.756
35,0.8181,16168,234.297,38.999
30,0.8048,17866.3,214.623,34.468
25,0.7851,20354,193.725,29.694
20,0.7572,23373.1,170.245,24.759
15,0.7174,28156.5,144.348,19.735
10,0.6695,34881.9,117.433,14.736
