Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
3449742,4216491,1464914,1240200,3682961,1664400,1247207,2004980,3409268,3451470,
ef,recall,qps,dist_comp,hops
3000,0.9863,149.77,10069.7,2030.99
2500,0.9856,172.596,8894.05,1750.3
2000,0.9845,205.553,7645.91,1452.3
1700,0.9842,233.089,6844.78,1264.16
1400,0.9831,272.237,5974.11,1069.44
1100,0.9823,329.688,5027.5,867.797
1000,0.9815,357.081,4692.88,798.466
900,0.98,389.663,4348.07,727.62
800,0.9795,427.956,3989.26,655.638
700,0.978,477.87,3615.96,582.088
600,0.9757,543.846,3228.28,507.392
500,0.9724,630.399,2822.87,431.129
400,0.9683,759.838,2394.82,352.638
300,0.962,963.618,1936.14,271.105
250,0.9545,1126.86,1691.14,229.603
200,0.9471,1356.63,1435.75,187.215
180,0.9437,1477.19,1329.8,170.147
160,0.9406,1620.08,1219.92,152.9
140,0.9359,1811.58,1106.07,135.436
120,0.9268,2060.81,985.492,117.521
100,0.9183,2383.34,861.96,99.683
90,0.9127,2590.48,799.597,90.62
80,0.9067,2840.72,734.998,81.675
70,0.8982,3137.4,671.822,72.813
60,0.8869,3528.07,601.822,63.366
55,0.8808,3761.1,567.488,58.761
50,0.8747,3944.81,531.691,54.039
45,0.864,4307.88,495.525,49.301
40,0.8554,4671.89,459.62,44.661
35,0.8411,5104.67,421.656,39.839
30,0.8301,5419.13,397.763,36.766
25,0.829,5432.92,397.346,36.38
20,0.8284,5466.71,397.048,36.064
15,0.828,5490.15,396.854,35.799
10,0.8272,5508.65,396.7,35.604
